source_system,source_identifier,wellbore_uid,well_code,sidetrack_code,operator_label,match_method,match_confidence,identity_kind,occurrences,official_identifiers,evidence,first_seen_in
TRAJ,15/9-F-10 - Main Wellbore,15/9-F-10,15/9-F-10,,,NORMALIZED,0.90,XML_NAME_WELLBORE,5,B_NUMBER:B-924688,WITSML 'Main Wellbore' descriptor: the original hole of well 15/9-F-10; corroborated by B_NUMBER B-924688 (from TRAJ XML_NAME_WELLBORE '15/9-F-10 - Main Wellbore'),data/landing/traj/Norway-StatoilHydro-15-9-F-10/1/trajectory/1.xml
TRAJ,15_9-F-10,15/9-F-10,15/9-F-10,,,NORMALIZED,0.95,WELLBORE_FOLDER|WELL_FOLDER,19,,stages a-d; decided at c_canonical_separators,Well_technical_data/WellWellbore
TRAJ,B-924688,15/9-F-10,15/9-F-10,,,IDENTIFIER,1.00,XML_UID_WELLBORE,5,B_NUMBER:B-924688,B_NUMBER B-924688 (from TRAJ XML_NAME_WELLBORE '15/9-F-10 - Main Wellbore'),data/landing/traj/Norway-StatoilHydro-15-9-F-10/1/trajectory/1.xml
TRAJ,Norway-StatoilHydro-15_$47$_9-F-10,15/9-F-10,15/9-F-10,,StatoilHydro,NORMALIZED,0.95,ARCHIVE_ROOT_FOLDER,6,,stages a-d; decided at c_canonical_separators,TRAJ landing root
TRAJ,W-924688,15/9-F-10,15/9-F-10,,,IDENTIFIER,1.00,XML_UID_WELL,5,W_NUMBER:W-924688,W_NUMBER W-924688 (from TRAJ XML_NAME_WELL '15/9-F-10'),data/landing/traj/Norway-StatoilHydro-15-9-F-10/1/trajectory/1.xml
WITSML,15/9-F-10,15/9-F-10,15/9-F-10,,,EXACT,1.00,XML_NAME_WELL,2,W_NUMBER:W-924688,already canonical; corroborated by W_NUMBER W-924688 (from TRAJ XML_NAME_WELL '15/9-F-10'),data/landing/witsml/Norway-StatoilHydro-15-9-F-10/1/_wellboreInfo/15_$47$_9-F-10 - Main Wellbore (B-924688)(NULL).xml
WITSML,15/9-F-10 - Main Wellbore,15/9-F-10,15/9-F-10,,,NORMALIZED,0.90,XML_NAME_WELLBORE,1,B_NUMBER:B-924688,WITSML 'Main Wellbore' descriptor: the original hole of well 15/9-F-10; corroborated by B_NUMBER B-924688 (from TRAJ XML_NAME_WELLBORE '15/9-F-10 - Main Wellbore'),data/landing/witsml/Norway-StatoilHydro-15-9-F-10/1/_wellboreInfo/15_$47$_9-F-10 - Main Wellbore (B-924688)(NULL).xml
WITSML,B-924688,15/9-F-10,15/9-F-10,,,IDENTIFIER,1.00,XML_UID_WELLBORE,1,B_NUMBER:B-924688,B_NUMBER B-924688 (from TRAJ XML_NAME_WELLBORE '15/9-F-10 - Main Wellbore'),data/landing/witsml/Norway-StatoilHydro-15-9-F-10/1/_wellboreInfo/15_$47$_9-F-10 - Main Wellbore (B-924688)(NULL).xml
WITSML,Norway-StatoilHydro-15_$47$_9-F-10,15/9-F-10,15/9-F-10,,StatoilHydro,NORMALIZED,0.95,ARCHIVE_ROOT_FOLDER,6,,stages a-d; decided at c_canonical_separators,WITSML landing root
WITSML,W-924688,15/9-F-10,15/9-F-10,,,IDENTIFIER,1.00,XML_UID_WELL,2,W_NUMBER:W-924688,W_NUMBER W-924688 (from TRAJ XML_NAME_WELL '15/9-F-10'),data/landing/witsml/Norway-StatoilHydro-15-9-F-10/1/_wellboreInfo/15_$47$_9-F-10 - Main Wellbore (B-924688)(NULL).xml
TRAJ,15_9-F-10 A,15/9-F-10 A,15/9-F-10,A,,NORMALIZED,0.95,WELLBORE_FOLDER,10,,stages a-d; decided at d_split_sidetrack,Well_technical_data/WellWellbore
ARCHIVE,15_9-F-11,15/9-F-11,15/9-F-11,,,NORMALIZED,0.95,ARCHIVE_NAME,29,,stages a-d; decided at c_canonical_separators,15_9-F-11.zip
